code,Field title
26684,Volume of AV (left hemisphere)
26710,Volume of AV (right hemisphere)
26602,Volume of Accessory-Basal-nucleus (left hemisphere)
26612,Volume of Accessory-Basal-nucleus (right hemisphere)
26603,Volume of Anterior-amygdaloid-area-AAA (left hemisphere)
26613,Volume of Anterior-amygdaloid-area-AAA (right hemisphere)
26601,Volume of Basal-nucleus (left hemisphere)
26611,Volume of Basal-nucleus (right hemisphere)
26622,Volume of CA1-body (left hemisphere)
26644,Volume of CA1-body (right hemisphere)
26626,Volume of CA1-head (left hemisphere)
26648,Volume of CA1-head (right hemisphere)
26632,Volume of CA3-body (left hemisphere)
26654,Volume of CA3-body (right hemisphere)
26637,Volume of CA3-head (left hemisphere)
26659,Volume of CA3-head (right hemisphere)
26635,Volume of CA4-body (left hemisphere)
26657,Volume of CA4-body (right hemisphere)
26634,Volume of CA4-head (left hemisphere)
26656,Volume of CA4-head (right hemisphere)
26681,Volume of CL (left hemisphere)
26706,Volume of CL (right hemisphere)
26670,Volume of CM (left hemisphere)
26694,Volume of CM (right hemisphere)
26677,Volume of CeM (left hemisphere)
26703,Volume of CeM (right hemisphere)
26604,Volume of Central-nucleus (left hemisphere)
26614,Volume of Central-nucleus (right hemisphere)
26606,Volume of Cortical-nucleus (left hemisphere)
26616,Volume of Cortical-nucleus (right hemisphere)
26607,Volume of Corticoamygdaloid-transitio (left hemisphere)
26617,Volume of Corticoamygdaloid-transitio (right hemisphere)
26633,Volume of GC-ML-DG-body (left hemisphere)
26655,Volume of GC-ML-DG-body (right hemisphere)
26631,Volume of GC-ML-DG-head (left hemisphere)
26653,Volume of GC-ML-DG-head (right hemisphere)
26638,Volume of HATA (left hemisphere)
26660,Volume of HATA (right hemisphere)
26620,Volume of Hippocampal-tail (left hemisphere)
26642,Volume of Hippocampal-tail (right hemisphere)
26668,Volume of L-Sg (left hemisphere)
26692,Volume of L-Sg (right hemisphere)
26712,Volume of LD (left hemisphere)
26713,Volume of LD (right hemisphere)
26665,Volume of LGN (left hemisphere)
26688,Volume of LGN (right hemisphere)
26687,Volume of LP (left hemisphere)
26711,Volume of LP (right hemisphere)
26600,Volume of Lateral-nucleus (left hemisphere)
26610,Volume of Lateral-nucleus (right hemisphere)
26676,Volume of MDl (left hemisphere)
26700,Volume of MDl (right hemisphere)
26673,Volume of MDm (left hemisphere)
26697,Volume of MDm (right hemisphere)
26664,Volume of MGN (left hemisphere)
26689,Volume of MGN (right hemisphere)
26679,Volume of MV(Re) (left hemisphere)
26702,Volume of MV(Re) (right hemisphere)
26605,Volume of Medial-nucleus (left hemisphere)
26615,Volume of Medial-nucleus (right hemisphere)
26716,Volume of Medulla (whole brain)
26719,Volume of Midbrain (whole brain)
26608,Volume of Paralaminar-nucleus (left hemisphere)
26618,Volume of Paralaminar-nucleus (right hemisphere)
26685,Volume of Pc (left hemisphere)
26708,Volume of Pc (right hemisphere)
26674,Volume of Pf (left hemisphere)
26698,Volume of Pf (right hemisphere)
26717,Volume of Pons (whole brain)
26683,Volume of Pt (left hemisphere)
26709,Volume of Pt (right hemisphere)
26672,Volume of PuA (left hemisphere)
26696,Volume of PuA (right hemisphere)
26666,Volume of PuI (left hemisphere)
26690,Volume of PuI (right hemisphere)
26682,Volume of PuL (left hemisphere)
26705,Volume of PuL (right hemisphere)
26667,Volume of PuM (left hemisphere)
26691,Volume of PuM (right hemisphere)
26718,Volume of SCP (whole brain)
26678,Volume of VA (left hemisphere)
26701,Volume of VA (right hemisphere)
26675,Volume of VAmc (left hemisphere)
26699,Volume of VAmc (right hemisphere)
26671,Volume of VLa (left hemisphere)
26695,Volume of VLa (right hemisphere)
26686,Volume of VLp (left hemisphere)
26707,Volume of VLp (right hemisphere)
26680,Volume of VM (left hemisphere)
26704,Volume of VM (right hemisphere)
26669,Volume of VPL (left hemisphere)
26693,Volume of VPL (right hemisphere)
26609,Volume of Whole-amygdala (left hemisphere)
26619,Volume of Whole-amygdala (right hemisphere)
26720,Volume of Whole-brainstem (whole brain)
26639,Volume of Whole-hippocampal-body (left hemisphere)
26661,Volume of Whole-hippocampal-body (right hemisphere)
26640,Volume of Whole-hippocampal-head (left hemisphere)
26662,Volume of Whole-hippocampal-head (right hemisphere)
26641,Volume of Whole-hippocampus (left hemisphere)
26663,Volume of Whole-hippocampus (right hemisphere)
26714,Volume of Whole-thalamus (left hemisphere)
26715,Volume of Whole-thalamus (right hemisphere)
26636,Volume of fimbria (left hemisphere)
26658,Volume of fimbria (right hemisphere)
26624,Volume of hippocampal-fissure (left hemisphere)
26646,Volume of hippocampal-fissure (right hemisphere)
26630,Volume of molecular-layer-HP-body (left hemisphere)
26652,Volume of molecular-layer-HP-body (right hemisphere)
26629,Volume of molecular-layer-HP-head (left hemisphere)
26651,Volume of molecular-layer-HP-head (right hemisphere)
26628,Volume of parasubiculum (left hemisphere)
26650,Volume of parasubiculum (right hemisphere)
26627,Volume of presubiculum-body (left hemisphere)
26649,Volume of presubiculum-body (right hemisphere)
26625,Volume of presubiculum-head (left hemisphere)
26647,Volume of presubiculum-head (right hemisphere)
26621,Volume of subiculum-body (left hemisphere)
26643,Volume of subiculum-body (right hemisphere)
26623,Volume of subiculum-head (left hemisphere)
26645,Volume of subiculum-head (right hemisphere)
