code,Field title
27334,Area of G+S-cingul-Ant (left hemisphere)
27556,Area of G+S-cingul-Ant (right hemisphere)
27335,Area of G+S-cingul-Mid-Ant (left hemisphere)
27557,Area of G+S-cingul-Mid-Ant (right hemisphere)
27336,Area of G+S-cingul-Mid-Post (left hemisphere)
27558,Area of G+S-cingul-Mid-Post (right hemisphere)
27329,Area of G+S-frontomargin (left hemisphere)
27551,Area of G+S-frontomargin (right hemisphere)
27330,Area of G+S-occipital-inf (left hemisphere)
27552,Area of G+S-occipital-inf (right hemisphere)
27331,Area of G+S-paracentral (left hemisphere)
27553,Area of G+S-paracentral (right hemisphere)
27332,Area of G+S-subcentral (left hemisphere)
27554,Area of G+S-subcentral (right hemisphere)
27333,Area of G+S-transv-frontopol (left hemisphere)
27555,Area of G+S-transv-frontopol (right hemisphere)
27345,Area of G-Ins-lg+S-cent-ins (left hemisphere)
27567,Area of G-Ins-lg+S-cent-ins (right hemisphere)
27337,Area of G-cingul-Post-dorsal (left hemisphere)
27559,Area of G-cingul-Post-dorsal (right hemisphere)
27338,Area of G-cingul-Post-ventral (left hemisphere)
27560,Area of G-cingul-Post-ventral (right hemisphere)
27339,Area of G-cuneus (left hemisphere)
27561,Area of G-cuneus (right hemisphere)
27340,Area of G-front-inf-Opercular (left hemisphere)
27562,Area of G-front-inf-Opercular (right hemisphere)
27341,Area of G-front-inf-Orbital (left hemisphere)
27563,Area of G-front-inf-Orbital (right hemisphere)
27342,Area of G-front-inf-Triangul (left hemisphere)
27564,Area of G-front-inf-Triangul (right hemisphere)
27343,Area of G-front-middle (left hemisphere)
27565,Area of G-front-middle (right hemisphere)
27344,Area of G-front-sup (left hemisphere)
27566,Area of G-front-sup (right hemisphere)
27346,Area of G-insular-short (left hemisphere)
27568,Area of G-insular-short (right hemisphere)
27349,Area of G-oc-temp-lat-fusifor (left hemisphere)
27571,Area of G-oc-temp-lat-fusifor (right hemisphere)
27350,Area of G-oc-temp-med-Lingual (left hemisphere)
27572,Area of G-oc-temp-med-Lingual (right hemisphere)
27351,Area of G-oc-temp-med-Parahip (left hemisphere)
27573,Area of G-oc-temp-med-Parahip (right hemisphere)
27347,Area of G-occipital-middle (left hemisphere)
27569,Area of G-occipital-middle (right hemisphere)
27348,Area of G-occipital-sup (left hemisphere)
27570,Area of G-occipital-sup (right hemisphere)
27352,Area of G-orbital (left hemisphere)
27574,Area of G-orbital (right hemisphere)
27353,Area of G-pariet-inf-Angular (left hemisphere)
27575,Area of G-pariet-inf-Angular (right hemisphere)
27354,Area of G-pariet-inf-Supramar (left hemisphere)
27576,Area of G-pariet-inf-Supramar (right hemisphere)
27355,Area of G-parietal-sup (left hemisphere)
27577,Area of G-parietal-sup (right hemisphere)
27356,Area of G-postcentral (left hemisphere)
27578,Area of G-postcentral (right hemisphere)
27357,Area of G-precentral (left hemisphere)
27579,Area of G-precentral (right hemisphere)
27358,Area of G-precuneus (left hemisphere)
27580,Area of G-precuneus (right hemisphere)
27359,Area of G-rectus (left hemisphere)
27581,Area of G-rectus (right hemisphere)
27360,Area of G-subcallosal (left hemisphere)
27582,Area of G-subcallosal (right hemisphere)
